node_class,optimization,test,cores,nodes,tpn,size,t[usec],b,c,d,e,f,g
Test System, As-is code,Pingpong,2,2,1,0,1.19,-1,-1,-1,-1,-1,-1
Test System, As-is code,Pingpong,2,2,1,524288,145.02,-1,-1,-1,-1,-1,-1

node_class,optimization,test,cores,nodes,tpn,t_max[usec],a,b,c,d,e,f,g
Test System, As-is code,Barrier,2,2,1,1.22,-1,-1,-1,-1,-1,-1,-1
Test System, As-is code,Barrier,64,64,1,16.82,-1,-1,-1,-1,-1,-1,-1
Test System, As-is code,Barrier,128,128,1,19.66,-1,-1,-1,-1,-1,-1,-1
Test System, As-is code,Barrier,256,256,1,18.23,-1,-1,-1,-1,-1,-1,-1
Test System, As-is code,Barrier,512,512,1,36.80,-1,-1,-1,-1,-1,-1,-1
Test System, As-is code,Barrier,72,2,36,5.59,-1,-1,-1,-1,-1,-1,-1
Test System, As-is code,Barrier,2304,64,36,21.02,-1,-1,-1,-1,-1,-1,-1
Test System, As-is code,Barrier,4608,128,36,27.29,-1,-1,-1,-1,-1,-1,-1
Test System, As-is code,Barrier,9216,256,36,38.73,-1,-1,-1,-1,-1,-1,-1
Test System, As-is code,Barrier,18432,512,36,33207.03,-1,-1,-1,-1,-1,-1,-1

node_class,optimization,test,cores,nodes,tpn,size,t_max[usec],size,t_max[usec],size,t_max[usec],size,t_max[usec]
Test System, As-is code,Alltoall,2,2,1,0,0.04,65536,18.24,524288,124.63,1048576,265.70
Test System, As-is code,Alltoall,64,64,1,0,0.05,65536,1182.39,524288,9264.78,1048576,18440.13
Test System, As-is code,Alltoall,128,128,1,0,0.05,65536,2235.63,524288,18026.10,1048576,35262.61
Test System, As-is code,Alltoall,256,256,1,0,0.06,65536,11451.84,524288,94576.81,1048576,189829.04
Test System, As-is code,Alltoall,512,512,1,0,0.05,65536,22051.83,524288,170696.90,1048576,338961.36
Test System, As-is code,Alltoall,72,2,36,0,0.17,65536,7334.15,524288,60934.26,1048576,122129.96
Test System, As-is code,Alltoall,2304,64,36,0,0.17,65536,1608879.96,524288,?,1048576,?
Test System, As-is code,Alltoall,4608,128,36,0,0.18,65536,3233649.40,524288,?,1048576,?
Test System, As-is code,Alltoall,9216,256,36,0,0.32,65536,?,?,?,?,?
Test System, As-is code,Alltoall,18432,512,36,0,37.31,65536,?,524288,?,1048576,?

node_class,optimization,test,cores,nodes,tpn,size,t_max[usec],size,t_max[usec],size,t_max[usec],size,t_max[usec]
Test System, As-is code,Allgather,2,2,1,0,0.04,65536,17.67,524288,114.48,1048576,250.85
Test System, As-is code,Allgather,64,64,1,0,0.04,65536,1265.80,524288,5159.36,1048576,8979.13
Test System, As-is code,Allgather,128,128,1,0,0.05,65536,2591.97,524288,10242.45,1048576,17917.73
Test System, As-is code,Allgather,256,256,1,0,0.05,65536,5311.40,524288,25351.44,1048576,47366.72
Test System, As-is code,Allgather,512,512,1,0,0.05,65536,10799.87,524288,51580.24,1048576,96523.14
Test System, As-is code,Allgather,72,2,36,0,0.18,65536,6759.97,524288,61967.79,1048576,133497.37
Test System, As-is code,Allgather,2304,64,36,0,0.25,65536,165804.82,524288,1977387.09,1048576,?
Test System, As-is code,Allgather,4608,128,36,0,0.34,65536,330004.40,524288,?,1048576,?
Test System, As-is code,Allgather,9216,256,36,0,0.18,65536,15491941.84,524288,?,1048576,?
Test System, As-is code,Allgather,18432,512,36,0,1.53,65536,37872340.19,524288,?,1048576,?

node_class,optimization,test,cores,nodes,tpn,size,t_max[usec],size,t_max[usec],size,t_max[usec],size,t_max[usec]
Test System, As-is code,Allreduce,2,2,1,0,0.05,65536,36.78,524288,226.97,1048576,442.85
Test System, As-is code,Allreduce,64,64,1,0,0.05,65536,106.29,524288,556.90,1048576,973.54
Test System, As-is code,Allreduce,128,128,1,0,0.07,65536,523.57,524288,560.42,1048576,1145.36
Test System, As-is code,Allreduce,256,256,1,0,0.05,65536,603.42,524288,875.38,1048576,1593.19
Test System, As-is code,Allreduce,512,512,1,0,0.07,65536,705.16,524288,1036.08,1048576,1599.92
Test System, As-is code,Allreduce,72,2,36,0,0.18,65536,287.07,524288,1387.13,1048576,2402.99
Test System, As-is code,Allreduce,2304,64,36,0,0.19,65536,381.08,524288,1728.03,1048576,2879.25
Test System, As-is code,Allreduce,4608,128,36,0,0.19,65536,706.79,524288,1919.49,1048576,3093.33
Test System, As-is code,Allreduce,9216,256,36,0,0.18,65536,764.05,524288,1972.35,1048576,3882.74
Test System, As-is code,Allreduce,18432,512,36,0,0.27,65536,48911.12,524288,70414.63,1048576,114617.93

node_class,optimization,test,cores,nodes,tpn,size,t_max[usec],size,t_max[usec],size,t_max[usec],size,t_max[usec]
